CDO_amari_metals_ltd__sytzwr - 65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d,Processing Time UTC,Time Interval,Event Count,,,,,CDO_dfds - b75ee6bf-999f-41dc-a002-a1a9009d2ad6,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-24-37-7c1952d4-c6d0-34b3-858f-0177fb9cf9a9.json.gz,2025-08-26 05:32:01,6.02m,4342,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-05-47-47-1a2bf503-f82a-34c5-ad27-d3296f2c6fb2.json.gz,2025-08-26 06:07:40,1.52m,220
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-18-33-53716bbb-5da7-3a0b-b948-a7a69cc2b985.json.gz,2025-08-26 05:26:00,4.02m,5205,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-58-42-5e3a8122-2c50-3768-9a49-34c53ac59b29.json.gz,2025-08-26 06:06:09,6.02m,14061
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/04/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-15-33-4a8a53c4-00ed-390f-9100-d964059aab5f.json.gz,2025-08-26 05:21:59,1.98m,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-52-43-68a4ad1e-2084-37a3-a075-e24100eb3e33.json.gz,2025-08-26 06:00:08,5.95m,33850
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-12-33-7b961b77-be69-3718-8a80-2a160953a3be.json.gz,2025-08-26 05:20:00,1.57m,6442,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-46-45-7430b52d-f08d-381f-988b-4d97742dd885.json.gz,2025-08-26 05:54:11,2.22m,32745
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/22/13/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-buffered-1-2025-08-26-04-58-32-9df8b1c6-e24f-3037-8112-4b75916dd760.json.gz,2025-08-26 05:18:26,4.42m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-05-31-53-d42e8e38-64dc-301a-8446-80ce7ec707c4.json.gz,2025-08-26 05:51:58,3.70m,85
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/04/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-07-33-c21caae1-db63-37a1-8afc-995c0339a6fb.json.gz,2025-08-26 05:14:01,3.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-40-48-6c1a2838-c4fd-3f05-b88a-b3adde11fed4.json.gz,2025-08-26 05:48:16,6.02m,29051
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-06-33-a79be6b7-d443-3065-ad76-e1b87feb620c.json.gz,2025-08-26 05:13:58,5.85m,6428,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-34-51-e6d3f4ed-0311-3904-84d7-6cf98bef2146.json.gz,2025-08-26 05:42:15,3.93m,30365
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-00-33-a0588d94-4a7b-3bda-8160-1b65b537df7c.json.gz,2025-08-26 05:08:07,10.00s,3615,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-30-53-4ca8e0d9-8581-3973-8da0-232948cec021.json.gz,2025-08-26 05:38:19,1.95m,4
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/04/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-05-00-33-37ac2039-9610-31d4-8f15-654d5350f574.json.gz,2025-08-26 05:07:57,5.93m,786,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-28-55-c9ab8dd4-fe66-39bd-b25f-b949cd3e78df.json.gz,2025-08-26 05:36:22,3.97m,28285
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/04/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-04-54-32-0fb3c88a-640b-338e-b62c-b41e1617a729.json.gz,2025-08-26 05:02:01,N/A (First file),3889,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-24-56-62dcc450-da76-37fc-ac89-904e21dc8fb9.json.gz,2025-08-26 05:32:24,2.02m,22
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-22-57-ea5b6b94-1a5c-38ca-af45-979c8e1c87ed.json.gz,2025-08-26 05:30:23,4.02m,29197
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-19-01-8495c143-2510-3ebc-8541-446a34dfb191.json.gz,2025-08-26 05:26:22,1.92m,40
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-17-01-73e7e4fa-aeac-32b2-847a-f6855ef87294.json.gz,2025-08-26 05:24:27,4.00m,28216
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-14-59-de0da672-bbd4-3eaf-a1d6-b38127d9dd9c.json.gz,2025-08-26 05:20:27,1.93m,37
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-11-02-8324a156-c364-3706-a70c-35d82921b5a8.json.gz,2025-08-26 05:18:31,4.42m,25996
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/03/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-04-54-09-1d84c995-603c-3de7-bb2b-d37dcc8280f2.json.gz,2025-08-26 05:14:06,1.43m,58
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-05-05-6609c4d0-49d6-347c-8575-87d72f74662d.json.gz,2025-08-26 05:12:40,9.00s,26274
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-05-05-77fc9d93-51c3-38bc-aebd-06b0a4a989ff.json.gz,2025-08-26 05:12:31,5.80m,77
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-05-00-08-b47e07f4-0f2d-3211-86c6-6227f6b72403.json.gz,2025-08-26 05:06:43,8.00s,16985
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-04-59-08-42d32f1b-025f-3ec2-978f-f72b8d8f334a.json.gz,2025-08-26 05:06:35,6.00m,8085
,,,,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/04/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-04-53-09-aa67be0b-afe2-36c7-bc41-ae858d67bb5e.json.gz,2025-08-26 05:00:35,N/A (First file),22628
Average Interval:,,3.72m,,,,,,Average Interval:,,2.99m,
