CDO_amari_metals_ltd__sytzwr - 65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d,Processing Time UTC,Time Interval,Event Count,,,,,CDO_dfds - b75ee6bf-999f-41dc-a002-a1a9009d2ad6,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-07-00-38-57deb8ec-c8db-3518-ad1f-57e58a52f4e5.json.gz,2025-08-26 07:08:04,5.92m,815,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-07-35-6f0290a7-2ed6-31fc-b5bd-bbf8b048ec73.json.gz,2025-08-26 07:14:40,1.83m,213
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-54-38-52a56e70-b063-3a83-9e00-d7b253d6fd0c.json.gz,2025-08-26 07:02:09,6.10m,3830,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-05-46-cfad897c-fee1-3fa2-8455-742e0e257f69.json.gz,2025-08-26 07:12:50,3.20m,59652
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-48-37-a4ebb23e-4091-3ff0-9dce-7d0aaa9d6d06.json.gz,2025-08-26 06:56:03,5.97m,3855,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-06-49-40-e1339230-4a39-3c5d-a40d-ca90e384c43e.json.gz,2025-08-26 07:09:38,8.00s,115
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-42-37-abee1af9-9114-3183-983d-fcf9c1e1d556.json.gz,2025-08-26 06:50:05,6.07m,3867,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-02-30-25ed5e6a-af61-3d09-a96c-7cb0d1d794e8.json.gz,2025-08-26 07:09:30,3.37m,174
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-36-37-c8e6dad6-2547-3142-8abf-066335c590da.json.gz,2025-08-26 06:44:01,2.20m,3859,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/07/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-07-00-10-73362da2-eb3f-3793-bb0c-5ba02e6f8596.json.gz,2025-08-26 07:06:08,1.82m,57733
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/25/12/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-buffered-1-2025-08-26-06-21-37-ffca9e73-a6e8-3cf2-a7b7-9bdb9cafc8da.json.gz,2025-08-26 06:41:49,2.82m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-06-57-13-e221dac6-ac62-31fb-ab98-75db3bf5dae3.json.gz,2025-08-26 07:04:19,6.00m,37638
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-31-38-6bf4c7a6-49f0-3d65-b6a1-085b6dac3d7b.json.gz,2025-08-26 06:39:00,1.98m,3222,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-06-51-04-af9c674d-71c9-348f-86b7-bf8e2283d2c4.json.gz,2025-08-26 06:58:19,5.73m,65053
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-29-38-be48d737-6645-3a2e-a43d-fdc0a26b7901.json.gz,2025-08-26 06:37:01,3.93m,6,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-06-45-22-2ed030c5-b0df-3060-9548-864bbcada036.json.gz,2025-08-26 06:52:35,36.00s,50289
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/06/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-25-37-602675d7-ebdf-3ab5-8051-a5413cc6c02b.json.gz,2025-08-26 06:33:05,2.02m,4314,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/05/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-buffered-1-2025-08-26-06-31-55-4f5740db-fc84-358f-9403-58031e7e6831.json.gz,2025-08-26 06:51:59,5.25m,530
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-data/2025/08/26/05/FTD/eu-prod-65f8da2a-5f4d-4d09-a989-ce6d1c3adb0d-compressed-1-2025-08-26-06-23-38-8adc8732-b542-3d1e-9808-f216ab4b919c.json.gz,2025-08-26 06:31:04,4.02m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-data/2025/08/26/06/FTD/eu-prod-b75ee6bf-999f-41dc-a002-a1a9009d2ad6-compressed-1-2025-08-26-06-39-29-b0b164fe-9547-3941-9ad4-5691d135170c.json.gz,2025-08-26 06:46:44,5.68m,52322
