CDO_goldhofer - ce9eb70b-eef7-4470-ab9e-8974ff3837d5,Processing Time UTC,Time Interval,Event Count,,,,,CDO_israel_television_news_company_ltd - 6471a63b-911a-4732-9b12-627859a14a4b,Processing Time UTC,Time Interval,Event Count,,,,,CDO_kramer_electronics__s4ikgr - cf848168-4dcd-4403-8ca8-7f927bf99b87,Processing Time UTC,Time Interval,Event Count,,,,,CDO_the_salvation_army__saag40 - c43079b2-097a-4543-bfc9-ca7a95201c22,Processing Time UTC,Time Interval,Event Count,,,,,CDO_vf-gcp_teradata_de__sc2tra - c9e535a1-774d-4f8d-9343-eadcac11789a,Processing Time UTC,Time Interval,Event Count
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/16/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-08-17-e669e2cd-28aa-3f3c-ae6b-adc1b9fe5185.json.gz,2025-08-26 07:27:47,0.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-11-47-1142fce8-71ac-3e74-8f20-2315f280c901.json.gz,2025-08-26 07:19:10,1.42m,5860,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-10-46-973a716d-7375-377c-a6d1-16e3b1744cd5.json.gz,2025-08-26 07:18:12,1.63m,48599,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/00/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-06-50-6405f69e-139c-36ea-9ae8-b7066b7994cd.json.gz,2025-08-26 07:26:47,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-23-50-e879675c-0c9a-3cc6-b972-6b086af5de9d.json.gz,2025-08-26 07:27:06,2.00m,8286
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/04/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-07-50-ed774aa0-3334-3cbd-a7a9-9e8cd71004b3.json.gz,2025-08-26 07:27:47,16.00s,135,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-10-43-ea0c616f-c97c-395b-ba5e-997f19f2836c.json.gz,2025-08-26 07:17:45,2.30m,79163,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-09-33-8336a2b0-372e-360c-83d4-6fbcb2d1f326.json.gz,2025-08-26 07:16:34,4.12m,157,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/05/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-08-06-338ea4d2-2873-3564-beae-984c87de9bb1.json.gz,2025-08-26 07:26:47,4.00m,13,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-21-50-9590a3c5-3a4e-34b3-a632-07d9ce2330ec.json.gz,2025-08-26 07:25:06,1.00s,42
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/06/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-20-36-aa6afed7-2a96-31bf-a367-583d5dbd2371.json.gz,2025-08-26 07:27:31,3.93m,13906,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/25/21/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-06-58-05-da8e3542-a161-378b-ad19-4230af0fecf3.json.gz,2025-08-26 07:15:27,1.97m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-05-02-d2449ab4-21cf-39ad-bd4b-64c69dc9c30e.json.gz,2025-08-26 07:12:27,1.57m,50574,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-16-06-6e8631d1-709f-383b-be94-248567665281.json.gz,2025-08-26 07:22:47,26.00s,86865,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-21-50-70eb4700-2570-320a-8aa3-0e4559ec0e1d.json.gz,2025-08-26 07:25:05,1.98m,8801
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/12/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-05-09-decaf319-c997-34d7-bce6-610fa96d1a5f.json.gz,2025-08-26 07:23:35,44.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-07-02-45480742-6fcb-3494-b49f-8d5eb78e2593.json.gz,2025-08-26 07:13:29,1.43m,6591,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-03-51-4c2abfc6-0e6d-3525-9c03-8861330e073e.json.gz,2025-08-26 07:10:53,1.48m,624,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/23/22/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-02-52-8a6ab572-0b95-351e-9027-62cc811392cc.json.gz,2025-08-26 07:22:21,10.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-19-49-f78d0604-a797-3cdd-a915-28c0fc572468.json.gz,2025-08-26 07:23:06,1.00s,29
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-16-01-65de7809-77ed-3e98-b4b6-b963ab17239c.json.gz,2025-08-26 07:22:51,1.53m,38425,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-04-34-b400fb76-71a0-336f-8c4d-e1bde0189afd.json.gz,2025-08-26 07:12:03,3.98m,82508,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/05/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-49-31-f6bd9860-10fe-380b-90d6-b28e4f6a0676.json.gz,2025-08-26 07:09:24,3.15m,54,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/25/21/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-05-28-ec412790-8ec3-3ef0-bc15-04c8c35d55c7.json.gz,2025-08-26 07:22:11,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-19-49-9c87e04d-1dcd-3acc-9dc6-04f671814f5b.json.gz,2025-08-26 07:23:05,2.00m,8836
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/06/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-14-05-5a99efb4-7a02-3758-a9a9-4345b2dee9a5.json.gz,2025-08-26 07:21:19,1.55m,13305,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-01-08-92a04ced-87b0-3b73-bdc1-2e0750aeeb68.json.gz,2025-08-26 07:08:04,39.00s,9853,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/07/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-07-00-23-68091efb-3375-33e2-9718-72a02cf88ce8.json.gz,2025-08-26 07:06:15,1.70m,39520,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/03/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-05-48-3f11807f-33b7-3add-b239-c2b8bbef8570.json.gz,2025-08-26 07:22:11,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-17-48-b5f12c03-2a7a-3c89-9101-f2bd174ea4ae.json.gz,2025-08-26 07:21:05,0.00s,26
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/17/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-02-54-bd7a5d0e-b515-3b70-9a68-fdb528feb254.json.gz,2025-08-26 07:19:46,4.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/05/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-06-47-29-e74d985c-59d9-3a18-883f-a10d1ed16e93.json.gz,2025-08-26 07:07:25,2.00s,9737,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/02/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-44-37-15136301-47f9-3cc5-b3da-92ead2ebd040.json.gz,2025-08-26 07:04:33,4.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/04/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-07-03-14-7d9b143e-82df-38b6-ace5-55c29f3d89e4.json.gz,2025-08-26 07:22:11,44.00s,6,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-17-48-03c32127-5bc1-3cab-9681-24549049ac0a.json.gz,2025-08-26 07:21:05,1.93m,9750
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/04/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-03-15-7b4c563d-3bd2-3820-8639-500d59c9dafa.json.gz,2025-08-26 07:19:42,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/04/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-06-48-07-27ff0674-fc85-34ce-aba4-2acfe2c5afb3.json.gz,2025-08-26 07:07:23,29.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-06-57-26-7c97010b-e098-39e3-b849-9c974d6f9c48.json.gz,2025-08-26 07:04:29,4.52m,30425,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/06/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-14-24-a38d084a-7fa2-3dd4-95b7-33098df5f093.json.gz,2025-08-26 07:21:27,3.30m,632,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-15-52-b7703e61-b6bf-3590-b75e-af0850d1688a.json.gz,2025-08-26 07:19:09,4.00s,11380
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-00-36-25d6e5d3-874c-3f5c-8d86-44b7f0f66c09.json.gz,2025-08-26 07:19:42,0.00s,3,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/07/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-07-00-17-960fccbb-5730-345d-adaa-69a8cf7792de.json.gz,2025-08-26 07:06:54,4.50m,63854,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/25/21/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-42-56-5d9808b6-2765-3334-996a-c02a20c5a5b5.json.gz,2025-08-26 06:59:58,4.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/01/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-06-58-03-39e166ae-30c4-3c98-b2b7-ac63ac7563f7.json.gz,2025-08-26 07:18:09,1.12m,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-15-52-58755dd3-f1aa-3df3-9bf3-9504209afe2e.json.gz,2025-08-26 07:19:05,2.00m,27
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/15/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-00-56-d2e2b25b-538e-3b91-87ab-d4e9aee58197.json.gz,2025-08-26 07:19:42,0.00s,42,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-06-54-56-6d3b11a8-714f-3044-9baf-503cb18c1773.json.gz,2025-08-26 07:02:24,5.60m,73299,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/25/20/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-42-56-45a0ea8d-0e7a-39b1-af74-3c23941deb3d.json.gz,2025-08-26 06:59:54,1.63m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-09-57-57b2384c-ab49-3ff7-baa6-dd8e917618cf.json.gz,2025-08-26 07:17:02,1.60m,92363,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-13-51-7f78af31-08c6-349e-b9a2-f64a61891387.json.gz,2025-08-26 07:17:05,1.00s,26
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/25/19/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-07-02-52-2682f6b7-6d55-3fa2-b8a7-af4052318d9b.json.gz,2025-08-26 07:19:42,0.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-06-49-37-c3fb0f0c-c4d4-37d2-8f85-b1ca8c023825.json.gz,2025-08-26 06:56:48,5.38m,70587,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-06-50-45-d1edbd18-c85e-37ef-87a9-464c9f1ee2d3.json.gz,2025-08-26 06:58:16,2.23m,58107,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/06/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-08-23-ad6bf7ba-7938-342b-94b9-eb8c28666138.json.gz,2025-08-26 07:15:26,1.42m,1080,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-13-51-ee74eb2b-b1c8-3ee1-9b66-dd0e9134851f.json.gz,2025-08-26 07:17:04,1.92m,10308
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/05/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-06-59-48-b036d2ac-c6a0-3ad1-ab00-02642c6297cf.json.gz,2025-08-26 07:19:42,2.80m,1463,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-06-44-16-180cb648-bbf5-34b5-a52a-ff7550866558.json.gz,2025-08-26 06:51:25,4.00s,67873,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/03/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-36-07-e512cf29-ca06-357d-a3bb-e37a6b3ef3e1.json.gz,2025-08-26 06:56:02,0.00s,2,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/21/09/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-06-55-15-f962a504-bf04-3f6a-9327-bdf55b06843e.json.gz,2025-08-26 07:14:01,15.00s,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/06/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-11-52-a11f1e29-8756-3cef-a18c-5ab8b6faa347.json.gz,2025-08-26 07:15:09,1.00s,81
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/07/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-1-2025-08-26-07-09-55-a69e8d0b-5f0e-34fc-b9f2-de8407063af7.json.gz,2025-08-26 07:16:54,1.32m,36761,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/05/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-buffered-1-2025-08-26-06-31-44-284112b2-2841-307f-a2b7-4331de26b330.json.gz,2025-08-26 06:51:21,5.83m,13948,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/04/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-buffered-1-2025-08-26-06-36-07-03e5d34b-842b-3815-ab91-e5ec0025b61f.json.gz,2025-08-26 06:56:02,2.85m,8,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/25/14/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-buffered-1-2025-08-26-06-56-38-b216bb99-b6e7-35c3-99db-e4ce780dae55.json.gz,2025-08-26 07:13:46,2.77m,1,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-11-52-4522a1de-6457-3f40-b066-68bcc1b62be8.json.gz,2025-08-26 07:15:08,2.00m,8973
s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-data/2025/08/26/03/FTD/eu-prod-ce9eb70b-eef7-4470-ab9e-8974ff3837d5-compressed-buffered-1-2025-08-26-06-56-36-b7427ad4-7d73-3af6-abef-b1b48cbf01c7.json.gz,2025-08-26 07:15:35,3.00s,60,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-data/2025/08/26/06/FTD/eu-prod-6471a63b-911a-4732-9b12-627859a14a4b-compressed-1-2025-08-26-06-38-42-ebb23d0c-858c-3b1b-bedc-65e2a35f0583.json.gz,2025-08-26 06:45:31,1.62m,77633,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-data/2025/08/26/06/FTD/eu-prod-cf848168-4dcd-4403-8ca8-7f927bf99b87-compressed-1-2025-08-26-06-45-44-768d5e9d-a2ac-357c-89d6-a731e2031f0a.json.gz,2025-08-26 06:53:11,1.05m,43447,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-data/2025/08/26/07/FTD/eu-prod-c43079b2-097a-4543-bfc9-ca7a95201c22-compressed-1-2025-08-26-07-04-11-b6218869-216c-3d10-877c-72f4cd8b57a1.json.gz,2025-08-26 07:11:00,1.28m,82159,,,,,s3://eu-prod-swc-compressed-staged-data-eu-central-1/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-data/2025/08/26/07/FTD/eu-prod-c9e535a1-774d-4f8d-9343-eadcac11789a-compressed-2-2025-08-26-07-09-50-28e5d7f0-a3ec-3b24-a171-f314608d745f.json.gz,2025-08-26 07:13:08,3.00s,9030
