CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count,dummy
s554,2025-08-25 08:16,0.00s,29,s554
s555,2025-08-25 08:16,28.00s,4761,s555
s556,2025-08-25 08:16,0.00s,175526,s556
s557,2025-08-25 08:16,0.00s,161971,s557
s558,2025-08-25 08:16,0.00s,168859,s558
s559,2025-08-25 08:16,0.00s,174838,s559
s560,2025-08-25 08:16,0.00s,151311,s560
s561,2025-08-25 08:16,0.00s,181924,s561
s562,2025-08-25 08:16,1.00s,165467,s562
s563,2025-08-25 08:16,3.00s,74844,s563
s564,2025-08-25 08:15,1.00s,77863,s564
s565,2025-08-25 08:15,0.00s,80036,s565
s566,2025-08-25 08:15,0.00s,80698,s566
s567,2025-08-25 08:15,0.00s,81427,s567
s568,2025-08-25 08:15,1.00s,77457,s568
s569,2025-08-25 08:15,0.00s,81331,s569
s570,2025-08-25 08:15,0.00s,80989,s570
s571,2025-08-25 08:15,13.00s,2245,s571
s572,2025-08-25 08:15,2.00s,175145,s572
s573,2025-08-25 08:15,4.00s,17065,s573
s574,2025-08-25 08:15,0.00s,172290,s574
s575,2025-08-25 08:15,0.00s,180810,s575
s576,2025-08-25 08:15,0.00s,193434,s576
s577,2025-08-25 08:15,0.00s,178892,s577
s578,2025-08-25 08:15,0.00s,170538,s578
s579,2025-08-25 08:15,1.00s,188042,s579
s580,2025-08-25 08:15,1.00s,167677,s580
s581,2025-08-25 08:15,20.00s,85088,s581
s582,2025-08-25 08:15,0.00s,163995,s582
s583,2025-08-25 08:15,1.00s,158267,s583
s584,2025-08-25 08:15,0.00s,173202,s584
s585,2025-08-25 08:15,3.00s,90114,s585
s586,2025-08-25 08:15,0.00s,174151,s586
s587,2025-08-25 08:15,0.00s,164465,s587
s588,2025-08-25 08:15,0.00s,174201,s588
s589,2025-08-25 08:15,8.00s,187533,s589
s590,2025-08-25 08:15,0.00s,1,s590
s591,2025-08-25 08:15,4.00s,15,s591
s592,2025-08-25 08:14,0.00s,79322,s592
s593,2025-08-25 08:14,3.00s,78486,s593
s594,2025-08-25 08:14,1.00s,77110,s594
s595,2025-08-25 08:14,0.00s,79079,s595
s596,2025-08-25 08:14,0.00s,81437,s596
s597,2025-08-25 08:14,0.00s,80563,s597
s598,2025-08-25 08:14,2.00s,77889,s598
s599,2025-08-25 08:14,9.00s,356,s599
s600,2025-08-25 08:14,1.00s,182981,s600
s601,2025-08-25 08:14,1.00s,169498,s601
s602,2025-08-25 08:14,0.00s,60939,s602
s603,2025-08-25 08:14,1.00s,175474,s603
s604,2025-08-25 08:14,0.00s,173211,s604
s605,2025-08-25 08:14,0.00s,178432,s605
s606,2025-08-25 08:14,0.00s,175055,s606
s607,2025-08-25 08:14,1.00s,179552,s607
s608,2025-08-25 08:14,0.00s,90019,s608
s609,2025-08-25 08:14,22.00s,171125,s609
s610,2025-08-25 08:14,3.00s,108314,s610
s611,2025-08-25 08:14,0.00s,156512,s611
s612,2025-08-25 08:14,0.00s,171183,s612
s613,2025-08-25 08:14,0.00s,175887,s613
s614,2025-08-25 08:14,0.00s,175362,s614
s615,2025-08-25 08:14,0.00s,161686,s615
s616,2025-08-25 08:14,0.00s,169006,s616
s617,2025-08-25 08:14,10.00s,162969,s617
s618,2025-08-25 08:14,0.00s,1,s618
s619,2025-08-25 08:14,1.00s,80096,s619
s620,2025-08-25 08:14,2.00s,2,s620
s621,2025-08-25 08:14,0.00s,1,s621
s622,2025-08-25 08:14,0.00s,2,s622
s623,2025-08-25 08:14,0.00s,1,s623
s624,2025-08-25 08:14,0.00s,1,s624
s625,2025-08-25 08:14,0.00s,1,s625
s626,2025-08-25 08:14,0.00s,1,s626
s627,2025-08-25 08:14,0.00s,78859,s627
s628,2025-08-25 08:14,0.00s,77353,s628
s629,2025-08-25 08:14,0.00s,79712,s629
s630,2025-08-25 08:14,1.00s,78863,s630
s631,2025-08-25 08:14,0.00s,81137,s631
s632,2025-08-25 08:14,3.00s,79184,s632
s633,2025-08-25 08:13,2.00s,173057,s633
s634,2025-08-25 08:13,0.00s,182658,s634
s635,2025-08-25 08:13,0.00s,180724,s635
s636,2025-08-25 08:13,0.00s,170709,s636
s637,2025-08-25 08:13,1.00s,178492,s637
s638,2025-08-25 08:13,0.00s,177673,s638
s639,2025-08-25 08:13,0.00s,98000,s639
s640,2025-08-25 08:13,13.00s,183322,s640
s641,2025-08-25 08:13,2.00s,167076,s641
s642,2025-08-25 08:13,23.00s,19024,s642
s643,2025-08-25 08:13,1.00s,170594,s643
s644,2025-08-25 08:13,0.00s,166176,s644
s645,2025-08-25 08:13,0.00s,93430,s645
s646,2025-08-25 08:13,0.00s,161590,s646
s647,2025-08-25 08:13,1.00s,166718,s647
s648,2025-08-25 08:13,0.00s,167787,s648
s649,2025-08-25 08:13,0.00s,161882,s649
s650,2025-08-25 08:13,2.00s,166016,s650
s651,2025-08-25 08:13,3.00s,77565,s651
s652,2025-08-25 08:13,0.00s,80053,s652
s653,2025-08-25 08:13,0.00s,77565,s653
s654,2025-08-25 08:13,0.00s,69225,s654
s655,2025-08-25 08:13,0.00s,77030,s655
s656,2025-08-25 08:13,0.00s,78845,s656
s657,2025-08-25 08:13,8.00s,76680,s657
s658,2025-08-25 08:13,0.00s,1,s658
s659,2025-08-25 08:13,0.00s,19,s659
s660,2025-08-25 08:13,0.00s,1,s660
s661,2025-08-25 08:13,0.00s,1,s661
s662,2025-08-25 08:13,0.00s,6,s662
s663,2025-08-25 08:13,0.00s,2,s663
s664,2025-08-25 08:13,0.00s,3,s664
s665,2025-08-25 08:13,0.00s,3,s665
s666,2025-08-25 08:13,0.00s,2,s666
s667,2025-08-25 08:13,0.00s,5,s667
s668,2025-08-25 08:13,0.00s,4,s668
s669,2025-08-25 08:13,0.00s,19,s669
s670,2025-08-25 08:13,0.00s,203167,s670
s671,2025-08-25 08:13,1.00s,173651,s671
s672,2025-08-25 08:13,0.00s,2,s672
s673,2025-08-25 08:13,0.00s,176638,s673
s674,2025-08-25 08:13,0.00s,100972,s674
s675,2025-08-25 08:13,0.00s,186769,s675
s676,2025-08-25 08:13,0.00s,166736,s676
s677,2025-08-25 08:13,0.00s,187220,s677
s678,2025-08-25 08:13,13.00s,175451,s678
s679,2025-08-25 08:12,2.00s,169180,s679
s680,2025-08-25 08:12,19.00s,8633,s680
s681,2025-08-25 08:12,0.00s,169755,s681
s682,2025-08-25 08:12,1.00s,186569,s682
s683,2025-08-25 08:12,0.00s,152556,s683
s684,2025-08-25 08:12,1.00s,169495,s684
s685,2025-08-25 08:12,0.00s,166763,s685
s686,2025-08-25 08:12,0.00s,176727,s686
s687,2025-08-25 08:12,0.00s,118090,s687
s688,2025-08-25 08:12,10.00s,167741,s688
s689,2025-08-25 08:12,0.00s,78858,s689
s690,2025-08-25 08:12,0.00s,78851,s690
s691,2025-08-25 08:12,0.00s,81633,s691
s692,2025-08-25 08:12,0.00s,77859,s692
s693,2025-08-25 08:12,1.00s,82650,s693
s694,2025-08-25 08:12,0.00s,80476,s694
s695,2025-08-25 08:12,1.00s,78729,s695
s696,2025-08-25 08:12,13.00s,16605,s696
s697,2025-08-25 08:11,0.00s,163608,s697
s698,2025-08-25 08:11,0.00s,173246,s698
s699,2025-08-25 08:11,0.00s,173202,s699
s700,2025-08-25 08:11,0.00s,169869,s700
s701,2025-08-25 08:11,0.00s,167842,s701
s702,2025-08-25 08:11,0.00s,164386,s702
s703,2025-08-25 08:11,1.00s,169751,s703
s704,2025-08-25 08:11,5.00s,71522,s704
s705,2025-08-25 08:11,0.00s,1,s705
s706,2025-08-25 08:11,0.00s,2,s706
s707,2025-08-25 08:11,0.00s,39,s707
s708,2025-08-25 08:11,1.00s,3344,s708
s709,2025-08-25 08:11,0.00s,61,s709
s710,2025-08-25 08:11,0.00s,1,s710
s711,2025-08-25 08:11,0.00s,1,s711
s712,2025-08-25 08:11,0.00s,5,s712
s713,2025-08-25 08:11,0.00s,2,s713
s714,2025-08-25 08:11,0.00s,4,s714
s715,2025-08-25 08:11,0.00s,306,s715
s716,2025-08-25 08:11,0.00s,37,s716
s717,2025-08-25 08:11,0.00s,29,s717
s718,2025-08-25 08:11,0.00s,31,s718
s719,2025-08-25 08:11,0.00s,30,s719
s720,2025-08-25 08:11,0.00s,32,s720
s721,2025-08-25 08:11,0.00s,23,s721
s722,2025-08-25 08:11,0.00s,22,s722
s723,2025-08-25 08:11,0.00s,65,s723
s724,2025-08-25 08:11,0.00s,129,s724
s725,2025-08-25 08:11,0.00s,25,s725
s726,2025-08-25 08:11,0.00s,146,s726
s727,2025-08-25 08:11,0.00s,1830,s727
s728,2025-08-25 08:11,0.00s,158,s728
s729,2025-08-25 08:11,0.00s,714,s729
s730,2025-08-25 08:11,0.00s,771,s730
s731,2025-08-25 08:11,0.00s,1088,s731
s732,2025-08-25 08:11,0.00s,2846,s732
s733,2025-08-25 08:11,1.00s,5409,s733
s734,2025-08-25 08:11,0.00s,1,s734
s735,2025-08-25 08:11,1.00s,223,s735
s736,2025-08-25 08:11,0.00s,25,s736
s737,2025-08-25 08:11,1.00s,769,s737
s738,2025-08-25 08:11,0.00s,8,s738
s739,2025-08-25 08:11,0.00s,5,s739
s740,2025-08-25 08:11,0.00s,5,s740
s741,2025-08-25 08:11,0.00s,8,s741
s742,2025-08-25 08:11,0.00s,25,s742
s743,2025-08-25 08:11,0.00s,11,s743
s744,2025-08-25 08:11,0.00s,19,s744
s745,2025-08-25 08:11,0.00s,47,s745
s746,2025-08-25 08:11,0.00s,61,s746
s747,2025-08-25 08:11,0.00s,125,s747
s748,2025-08-25 08:11,0.00s,81,s748
s749,2025-08-25 08:11,0.00s,328,s749
s750,2025-08-25 08:11,0.00s,861,s750
s751,2025-08-25 08:11,0.00s,2100,s751
s752,2025-08-25 08:11,0.00s,1428,s752
s753,2025-08-25 08:11,0.00s,210,s753
s754,2025-08-25 08:11,0.00s,180,s754
s755,2025-08-25 08:11,0.00s,178,s755
s756,2025-08-25 08:11,0.00s,487,s756
s757,2025-08-25 08:11,4.00s,948,s757
s758,2025-08-25 08:11,1.00s,179081,s758
s759,2025-08-25 08:11,4.00s,56438,s759
s760,2025-08-25 08:11,5.00s,163521,s760
s761,2025-08-25 08:11,0.00s,166274,s761
s762,2025-08-25 08:11,0.00s,176742,s762
s763,2025-08-25 08:11,0.00s,161277,s763
s764,2025-08-25 08:11,0.00s,164966,s764
s765,2025-08-25 08:11,0.00s,174457,s765
s766,2025-08-25 08:11,1.00s,172350,s766
s767,2025-08-25 08:11,7.00s,67607,s767
s768,2025-08-25 08:11,1.00s,81763,s768
s769,2025-08-25 08:11,3.00s,78899,s769
s770,2025-08-25 08:11,0.00s,79308,s770
s771,2025-08-25 08:11,0.00s,78125,s771
s772,2025-08-25 08:11,0.00s,80761,s772
s773,2025-08-25 08:11,0.00s,80695,s773
s774,2025-08-25 08:11,1.00s,79450,s774
s775,2025-08-25 08:11,17.00s,32753,s775
s776,2025-08-25 08:11,0.00s,164034,s776
s777,2025-08-25 08:11,1.00s,144731,s777
s778,2025-08-25 08:11,0.00s,172911,s778
s779,2025-08-25 08:11,0.00s,153633,s779
s780,2025-08-25 08:11,0.00s,154165,s780
s781,2025-08-25 08:11,0.00s,153363,s781
s782,2025-08-25 08:11,1.00s,144301,s782
s783,2025-08-25 08:11,13.00s,52106,s783
s784,2025-08-25 08:10,0.00s,5,s784
s785,2025-08-25 08:10,0.00s,4,s785
s786,2025-08-25 08:10,2.00s,4,s786
s787,2025-08-25 08:10,0.00s,1,s787
s788,2025-08-25 08:10,0.00s,3,s788
s789,2025-08-25 08:10,0.00s,2,s789
s790,2025-08-25 08:10,0.00s,4,s790
s791,2025-08-25 08:10,5.00s,17,s791
s792,2025-08-25 08:10,2.00s,164046,s792
s793,2025-08-25 08:10,1.00s,170769,s793
s794,2025-08-25 08:10,0.00s,169263,s794
s795,2025-08-25 08:10,0.00s,183335,s795
s796,2025-08-25 08:10,0.00s,172853,s796
s797,2025-08-25 08:10,1.00s,170271,s797
s798,2025-08-25 08:10,0.00s,68742,s798
s799,2025-08-25 08:10,0.00s,177981,s799
s800,2025-08-25 08:10,1.00s,167507,s800
s801,2025-08-25 08:10,9.00s,61227,s801
s802,2025-08-25 08:10,1.00s,80566,s802
s803,2025-08-25 08:10,0.00s,78749,s803
s804,2025-08-25 08:10,0.00s,80587,s804
s805,2025-08-25 08:10,0.00s,80491,s805
s806,2025-08-25 08:10,0.00s,81253,s806
s807,2025-08-25 08:10,0.00s,80110,s807
s808,2025-08-25 08:10,1.00s,81087,s808
s809,2025-08-25 08:10,6.00s,28143,s809
s810,2025-08-25 08:10,2.00s,52841,s810
s811,2025-08-25 08:10,0.00s,157464,s811
s812,2025-08-25 08:10,0.00s,156976,s812
s813,2025-08-25 08:10,0.00s,151439,s813
s814,2025-08-25 08:10,0.00s,164373,s814
s815,2025-08-25 08:10,0.00s,165193,s815
s816,2025-08-25 08:10,0.00s,155372,s816
s817,2025-08-25 08:10,22.00s,152523,s817
s818,2025-08-25 08:09,1.00s,170003,s818
s819,2025-08-25 08:09,0.00s,71229,s819
s820,2025-08-25 08:09,0.00s,174645,s820
s821,2025-08-25 08:09,0.00s,167556,s821
s822,2025-08-25 08:09,0.00s,167415,s822
s823,2025-08-25 08:09,0.00s,167458,s823
s824,2025-08-25 08:09,1.00s,181302,s824
s825,2025-08-25 08:09,0.00s,28,s825
s826,2025-08-25 08:09,0.00s,7,s826
s827,2025-08-25 08:09,1.00s,9,s827
s828,2025-08-25 08:09,0.00s,3,s828
s829,2025-08-25 08:09,0.00s,22,s829
s830,2025-08-25 08:09,2.00s,165775,s830
s831,2025-08-25 08:09,0.00s,1,s831
s832,2025-08-25 08:09,0.00s,2,s832
s833,2025-08-25 08:09,0.00s,1,s833
s834,2025-08-25 08:09,0.00s,2,s834
s835,2025-08-25 08:09,0.00s,1,s835
s836,2025-08-25 08:09,17.00s,23,s836
s837,2025-08-25 08:09,2.00s,176084,s837
s838,2025-08-25 08:09,1.00s,54178,s838
s839,2025-08-25 08:09,0.00s,82564,s839
s840,2025-08-25 08:09,0.00s,82523,s840
s841,2025-08-25 08:09,0.00s,80195,s841
s842,2025-08-25 08:09,0.00s,77908,s842
s843,2025-08-25 08:09,0.00s,78565,s843
s844,2025-08-25 08:09,1.00s,82844,s844
s845,2025-08-25 08:09,1.00s,80939,s845
s846,2025-08-25 08:09,4.00s,29954,s846
s847,2025-08-25 08:09,3.00s,166956,s847
s848,2025-08-25 08:09,0.00s,171480,s848
s849,2025-08-25 08:09,0.00s,158691,s849
s850,2025-08-25 08:09,0.00s,174085,s850
s851,2025-08-25 08:09,0.00s,157278,s851
s852,2025-08-25 08:09,0.00s,169070,s852
s853,2025-08-25 08:09,1.00s,143341,s853
s854,2025-08-25 08:09,15.00s,47240,s854
s855,2025-08-25 08:09,3.00s,161228,s855
s856,2025-08-25 08:09,0.00s,165920,s856
s857,2025-08-25 08:09,0.00s,159996,s857
s858,2025-08-25 08:09,0.00s,167833,s858
s859,2025-08-25 08:09,0.00s,162232,s859
s860,2025-08-25 08:09,1.00s,163776,s860
s861,2025-08-25 08:09,1.00s,171910,s861
s862,2025-08-25 08:09,7.00s,52840,s862
s863,2025-08-25 08:08,3.00s,16,s863
s864,2025-08-25 08:08,0.00s,1,s864
s865,2025-08-25 08:08,0.00s,1,s865
s866,2025-08-25 08:08,0.00s,1,s866
s867,2025-08-25 08:08,0.00s,2,s867
s868,2025-08-25 08:08,0.00s,1,s868
s869,2025-08-25 08:08,0.00s,1,s869
s870,2025-08-25 08:08,0.00s,2,s870
s871,2025-08-25 08:08,0.00s,2033,s871
s872,2025-08-25 08:08,0.00s,18,s872
s873,2025-08-25 08:08,0.00s,23,s873
s874,2025-08-25 08:08,0.00s,23,s874
s875,2025-08-25 08:08,0.00s,63,s875
s876,2025-08-25 08:08,1.00s,10502,s876
s877,2025-08-25 08:08,0.00s,2,s877
s878,2025-08-25 08:08,0.00s,10,s878
s879,2025-08-25 08:08,2.00s,5,s879
s880,2025-08-25 08:08,3.00s,85122,s880
s881,2025-08-25 08:08,0.00s,83598,s881
s882,2025-08-25 08:08,0.00s,39801,s882
s883,2025-08-25 08:08,0.00s,86576,s883
s884,2025-08-25 08:08,0.00s,82570,s884
s885,2025-08-25 08:08,0.00s,81053,s885
s886,2025-08-25 08:08,0.00s,77506,s886
s887,2025-08-25 08:08,4.00s,78970,s887
s888,2025-08-25 08:08,3.00s,176151,s888
s889,2025-08-25 08:08,0.00s,159372,s889
s890,2025-08-25 08:08,0.00s,169815,s890
s891,2025-08-25 08:08,0.00s,164129,s891
s892,2025-08-25 08:08,0.00s,162459,s892
s893,2025-08-25 08:08,0.00s,155690,s893
s894,2025-08-25 08:08,1.00s,170037,s894
s895,2025-08-25 08:08,3.00s,49514,s895
s896,2025-08-25 08:08,1.00s,167649,s896
s897,2025-08-25 08:08,22.00s,64825,s897
s898,2025-08-25 08:08,3.00s,166707,s898
s899,2025-08-25 08:08,0.00s,161747,s899
s900,2025-08-25 08:08,0.00s,155662,s900
s901,2025-08-25 08:08,0.00s,149989,s901
s902,2025-08-25 08:08,1.00s,159339,s902
s903,2025-08-25 08:08,0.00s,152747,s903
s904,2025-08-25 08:08,0.00s,61505,s904
s905,2025-08-25 08:08,9.00s,152251,s905
s906,2025-08-25 08:07,2.00s,2,s906
s907,2025-08-25 08:07,0.00s,3,s907
s908,2025-08-25 08:07,0.00s,78792,s908
s909,2025-08-25 08:07,0.00s,82542,s909
s910,2025-08-25 08:07,0.00s,80272,s910
s911,2025-08-25 08:07,0.00s,79818,s911
s912,2025-08-25 08:07,1.00s,78205,s912
s913,2025-08-25 08:07,0.00s,2,s913
s914,2025-08-25 08:07,0.00s,5,s914
s915,2025-08-25 08:07,0.00s,1,s915
s916,2025-08-25 08:07,0.00s,82728,s916
s917,2025-08-25 08:07,1.00s,79895,s917
s918,2025-08-25 08:07,0.00s,1,s918
s919,2025-08-25 08:07,6.00s,31507,s919
s920,2025-08-25 08:07,0.00s,157122,s920
s921,2025-08-25 08:07,0.00s,161784,s921
s922,2025-08-25 08:07,0.00s,169497,s922
s923,2025-08-25 08:07,0.00s,162734,s923
s924,2025-08-25 08:07,0.00s,165109,s924
s925,2025-08-25 08:07,0.00s,169221,s925
s926,2025-08-25 08:07,1.00s,160301,s926
s927,2025-08-25 08:07,18.00s,45184,s927
s928,2025-08-25 08:07,1.00s,174582,s928
s929,2025-08-25 08:07,8.00s,58140,s929
s930,2025-08-25 08:07,3.00s,165036,s930
s931,2025-08-25 08:07,0.00s,149859,s931
s932,2025-08-25 08:07,0.00s,156586,s932
s933,2025-08-25 08:07,0.00s,145974,s933
s934,2025-08-25 08:07,0.00s,149439,s934
s935,2025-08-25 08:07,0.00s,181655,s935
s936,2025-08-25 08:07,1.00s,161476,s936
s937,2025-08-25 08:07,7.00s,61642,s937
s938,2025-08-25 08:07,0.00s,1,s938
s939,2025-08-25 08:07,0.00s,2,s939
s940,2025-08-25 08:07,0.00s,4,s940
s941,2025-08-25 08:07,0.00s,5,s941
s942,2025-08-25 08:07,1.00s,80138,s942
s943,2025-08-25 08:07,0.00s,1,s943
s944,2025-08-25 08:07,3.00s,1,s944
s945,2025-08-25 08:07,1.00s,79794,s945
s946,2025-08-25 08:07,0.00s,39760,s946
s947,2025-08-25 08:07,0.00s,78680,s947
s948,2025-08-25 08:07,0.00s,80745,s948
s949,2025-08-25 08:07,0.00s,79125,s949
s950,2025-08-25 08:07,0.00s,83001,s950
s951,2025-08-25 08:07,15.00s,81526,s951
s952,2025-08-25 08:06,1.00s,48977,s952
s953,2025-08-25 08:06,1.00s,163219,s953
s954,2025-08-25 08:06,0.00s,154272,s954
s955,2025-08-25 08:06,0.00s,164284,s955
s956,2025-08-25 08:06,0.00s,155712,s956
s957,2025-08-25 08:06,0.00s,158605,s957
s958,2025-08-25 08:06,0.00s,159408,s958
s959,2025-08-25 08:06,14.00s,157607,s959
s960,2025-08-25 08:06,2.00s,164425,s960
s961,2025-08-25 08:06,4.00s,1966,s961
s962,2025-08-25 08:06,0.00s,166416,s962
s963,2025-08-25 08:06,0.00s,147529,s963
s964,2025-08-25 08:06,0.00s,149231,s964
s965,2025-08-25 08:06,0.00s,140526,s965
s966,2025-08-25 08:06,0.00s,157899,s966
s967,2025-08-25 08:06,0.00s,156367,s967
s968,2025-08-25 08:06,1.00s,147281,s968
s969,2025-08-25 08:06,12.00s,26362,s969
s970,2025-08-25 08:06,0.00s,81876,s970
s971,2025-08-25 08:06,1.00s,80552,s971
s972,2025-08-25 08:06,0.00s,81732,s972
s973,2025-08-25 08:06,0.00s,81784,s973
s974,2025-08-25 08:06,0.00s,80770,s974
s975,2025-08-25 08:06,3.00s,68123,s975
s976,2025-08-25 08:06,2.00s,8,s976
s977,2025-08-25 08:06,0.00s,2,s977
s978,2025-08-25 08:06,0.00s,2,s978
s979,2025-08-25 08:06,2.00s,1,s979
s980,2025-08-25 08:06,3.00s,151455,s980
s981,2025-08-25 08:06,0.00s,142409,s981
s982,2025-08-25 08:06,0.00s,149042,s982
s983,2025-08-25 08:06,0.00s,159536,s983
s984,2025-08-25 08:06,1.00s,153248,s984
s985,2025-08-25 08:06,0.00s,143291,s985
s986,2025-08-25 08:06,0.00s,30463,s986
s987,2025-08-25 08:06,15.00s,156298,s987
s988,2025-08-25 08:05,3.00s,81513,s988
s989,2025-08-25 08:05,0.00s,81766,s989
s990,2025-08-25 08:05,0.00s,83714,s990
s991,2025-08-25 08:05,1.00s,82582,s991
s992,2025-08-25 08:05,0.00s,83017,s992
s993,2025-08-25 08:05,1.00s,68207,s993
s994,2025-08-25 08:05,0.00s,150382,s994
s995,2025-08-25 08:05,1.00s,160199,s995
s996,2025-08-25 08:05,0.00s,157819,s996
s997,2025-08-25 08:05,0.00s,155451,s997
s998,2025-08-25 08:05,0.00s,162240,s998
s999,2025-08-25 08:05,0.00s,158331,s999
s1000,2025-08-25 08:05,1.00s,151331,s1000
s1001,2025-08-25 08:05,3.00s,34819,s1001
s1002,2025-08-25 08:05,0.00s,164847,s1002
s1003,2025-08-25 08:05,9.00s,37281,s1003
s1004,2025-08-25 08:05,1.00s,146033,s1004
s1005,2025-08-25 08:05,0.00s,144893,s1005
s1006,2025-08-25 08:05,0.00s,153809,s1006
s1007,2025-08-25 08:05,0.00s,142907,s1007
s1008,2025-08-25 08:05,0.00s,142031,s1008
s1009,2025-08-25 08:05,0.00s,140816,s1009
s1010,2025-08-25 08:05,1.00s,155191,s1010
s1011,2025-08-25 08:05,11.00s,26952,s1011
s1012,2025-08-25 08:05,1.00s,10,s1012
s1013,2025-08-25 08:05,2.00s,23,s1013
s1014,2025-08-25 08:05,1.00s,6,s1014
s1015,2025-08-25 08:05,0.00s,1,s1015
s1016,2025-08-25 08:05,0.00s,1,s1016
s1017,2025-08-25 08:05,0.00s,1,s1017
s1018,2025-08-25 08:05,0.00s,6,s1018
s1019,2025-08-25 08:05,6.00s,28,s1019
s1020,2025-08-25 08:05,0.00s,81166,s1020
s1021,2025-08-25 08:05,1.00s,81060,s1021
s1022,2025-08-25 08:05,0.00s,71435,s1022
s1023,2025-08-25 08:05,0.00s,80528,s1023
s1024,2025-08-25 08:05,0.00s,82240,s1024
s1025,2025-08-25 08:05,9.00s,80044,s1025
s1026,2025-08-25 08:04,2.00s,148320,s1026
s1027,2025-08-25 08:04,1.00s,26474,s1027
s1028,2025-08-25 08:04,0.00s,151063,s1028
s1029,2025-08-25 08:04,0.00s,156084,s1029
s1030,2025-08-25 08:04,0.00s,156820,s1030
s1031,2025-08-25 08:04,0.00s,149200,s1031
s1032,2025-08-25 08:04,1.00s,146317,s1032
s1033,2025-08-25 08:04,8.00s,150867,s1033
s1034,2025-08-25 08:04,1.00s,167131,s1034
s1035,2025-08-25 08:04,12.00s,34581,s1035
s1036,2025-08-25 08:04,3.00s,157057,s1036
s1037,2025-08-25 08:04,0.00s,145651,s1037
s1038,2025-08-25 08:04,0.00s,151276,s1038
s1039,2025-08-25 08:04,0.00s,154093,s1039
s1040,2025-08-25 08:04,0.00s,154637,s1040
s1041,2025-08-25 08:04,0.00s,148308,s1041
s1042,2025-08-25 08:04,2.00s,155757,s1042
s1043,2025-08-25 08:04,1.00s,28062,s1043
s1044,2025-08-25 08:04,0.00s,79573,s1044
s1045,2025-08-25 08:04,0.00s,81765,s1045
s1046,2025-08-25 08:04,0.00s,79519,s1046
s1047,2025-08-25 08:04,0.00s,72485,s1047
s1048,2025-08-25 08:04,0.00s,82783,s1048
s1049,2025-08-25 08:04,7.00s,80005,s1049
s1050,2025-08-25 08:04,0.00s,65,s1050
s1051,2025-08-25 08:04,0.00s,16,s1051
s1052,2025-08-25 08:04,0.00s,18,s1052
s1053,2025-08-25 08:04,0.00s,389,s1053
s1054,2025-08-25 08:04,1.00s,1086,s1054
s1055,2025-08-25 08:04,0.00s,12,s1055
s1056,2025-08-25 08:04,0.00s,101,s1056
s1057,2025-08-25 08:04,0.00s,22,s1057
s1058,2025-08-25 08:04,0.00s,348,s1058
s1059,2025-08-25 08:04,1.00s,321,s1059
s1060,2025-08-25 08:04,0.00s,1,s1060
s1061,2025-08-25 08:04,0.00s,406,s1061
s1062,2025-08-25 08:04,1.00s,145518,s1062
s1063,2025-08-25 08:04,1.00s,141463,s1063
s1064,2025-08-25 08:04,1.00s,357,s1064
s1065,2025-08-25 08:04,1.00s,142759,s1065
s1066,2025-08-25 08:04,0.00s,152669,s1066
s1067,2025-08-25 08:04,0.00s,139620,s1067
s1068,2025-08-25 08:04,0.00s,145396,s1068
s1069,2025-08-25 08:04,1.00s,150709,s1069
s1070,2025-08-25 08:04,16.00s,29023,s1070
s1071,2025-08-25 08:03,0.00s,84917,s1071
s1072,2025-08-25 08:03,0.00s,84558,s1072
s1073,2025-08-25 08:03,0.00s,83124,s1073
s1074,2025-08-25 08:03,0.00s,77365,s1074
s1075,2025-08-25 08:03,0.00s,78717,s1075
s1076,2025-08-25 08:03,8.00s,81017,s1076
s1077,2025-08-25 08:03,0.00s,141365,s1077
s1078,2025-08-25 08:03,0.00s,152934,s1078
s1079,2025-08-25 08:03,0.00s,145396,s1079
s1080,2025-08-25 08:03,0.00s,148308,s1080
s1081,2025-08-25 08:03,0.00s,147740,s1081
s1082,2025-08-25 08:03,0.00s,149091,s1082
s1083,2025-08-25 08:03,2.00s,145343,s1083
s1084,2025-08-25 08:03,2.00s,7739,s1084
s1085,2025-08-25 08:03,1.00s,168540,s1085
s1086,2025-08-25 08:03,21.00s,17484,s1086
s1087,2025-08-25 08:03,0.00s,2,s1087
s1088,2025-08-25 08:03,0.00s,3,s1088
s1089,2025-08-25 08:03,0.00s,81661,s1089
s1090,2025-08-25 08:03,1.00s,82030,s1090
s1091,2025-08-25 08:03,1.00s,81912,s1091
s1092,2025-08-25 08:03,0.00s,1,s1092
s1093,2025-08-25 08:03,0.00s,3,s1093
s1094,2025-08-25 08:03,0.00s,80255,s1094
s1095,2025-08-25 08:03,0.00s,19157,s1095
s1096,2025-08-25 08:03,0.00s,83117,s1096
s1097,2025-08-25 08:03,0.00s,81239,s1097
s1098,2025-08-25 08:03,1.00s,142734,s1098
s1099,2025-08-25 08:03,0.00s,136873,s1099
s1100,2025-08-25 08:03,1.00s,133137,s1100
s1101,2025-08-25 08:03,0.00s,139856,s1101
s1102,2025-08-25 08:03,0.00s,129067,s1102
s1103,2025-08-25 08:03,0.00s,138923,s1103
s1104,2025-08-25 08:03,1.00s,149160,s1104
s1105,2025-08-25 08:03,17.00s,12724,s1105
s1106,2025-08-25 08:02,0.00s,136227,s1106
s1107,2025-08-25 08:02,0.00s,137207,s1107
